player_id,name_short,name_long,position,nationality,name_ko_long,name_ko_short
30425,G. Mancini,Gianluca Mancini,Defender,Italy,잔루카 만치니,G. 만치니
31009,A. Bastoni,Alessandro Bastoni,Defender,Italy,알레산드로 바스토니,A. 바스토니
157052,R. Calafiori,Riccardo Calafiori,Defender,Italy,리카르도 칼라피오리,R. 칼라피오리
219,M. Politano,Matteo Politano,Midfielder,Italy,마테오 폴리타노,M. 폴리타노
30558,N. Barella,Nicolo Barella,Midfielder,Italy,니콜로 바렐라,N. 바렐라
30533,M. Locatelli,Manuel Locatelli,Midfielder,Italy,마누엘 로카텔리,M. 로카텔리
31146,S. Tonali,Sandro Tonali,Midfielder,Italy,산드로 토날리,S. 토날리
31010,F. Dimarco,Federico Dimarco,Midfielder,Italy,페데리코 디마르코,F. 디마르코
877,M. Kean,Moise Kean,Attacker,Italy,모이스 킨,M. 킨
6420,M. Retegui,Mateo Retegui,Attacker,Italy,마테오 레테기,M. 레테기
312,A. Meret,Alex Meret,Goalkeeper,Italy,알렉스 메레트,A. 메레트
30417,M. Carnesecchi,Marco Carnesecchi,Goalkeeper,Italy,마르코 카르네세키,M. 카르네세키
31173,D. Frattesi,Davide Frattesi,Midfielder,Italy,다비데 프라테시,D. 프라테시
30543,G. Raspadori,Giacomo Raspadori,Attacker,Italy,자코모 라스파도리,G. 라스파도리
31226,A. Buongiorno,Alessandro Buongiorno,Defender,Italy,알레산드로 부온조르노,A. 부온조르노
127011,A. Cambiaso,Andrea Cambiaso,Defender,Italy,안드레아 캄비아소,A. 캄비아소
268341,F. Gatti,Federico Gatti,Defender,Italy,페데리코 가티,F. 가티
345808,F. Esposito,Francesco Pio Esposito,Attacker,Italy,프란체스코 피오 에스포시토,F. 에스포시토
356888,N. Pisilli,Niccolo Pisilli,Midfielder,Italy,니콜로 피실리,N. 피실리
383018,M. Palestra,Marco Palestra,Defender,Italy,마르코 팔레스트라,M. 팔레스트라
778,B. Cristante,Bryan Cristante,Midfielder,Italy,브리안 크리스탄테,B. 크리스탄테
862,L. Spinazzola,Leonardo Spinazzola,Defender,Italy,레오나르도 스피나촐라,L. 스피나촐라
310187,S. Bajcetic,Stefan Bajcetic,Midfielder,Spain,스테판 바이체티치,S. 바이체티치
180317,C. Bradley,Conor Bradley,Defender,Northern Ireland,코너 브래들리,C. 브래들리
8500,W. Endo,Wataru Endo,Midfielder,Japan,엔도 와타루,W. 와타루
2864,A. Isak,Alexander Isak,Attacker,Sweden,알렉산데르 이삭,A. 이삭
409047,G. Leoni,Giovanni Leoni,Defender,Italy,조반니 레오니,G. 레오니
863,R. Bentancur,Rodrigo Bentancur,Midfielder,Uruguay,로드리고 벤탕쿠르,R. 벤탕쿠르
347316,L. Bergvall,Lucas Bergvall,Midfielder,Sweden,루카스 베리발,L. 베리발
18968,Y. Bissouma,Yves Bissouma,Midfielder,Mali,이브 비수마,Y. 비수마
164,B. Davies,Ben Davies,Defender,Wales,벤 데이비스,B. 데이비스
67972,C. Gallagher,Conor Gallagher,Midfielder,England,코너 갤러거,C. 갤러거
15911,M. Kudus,Mohammed Kudus,Attacker,Ghana,모하메드 쿠두스,M. 쿠두스
30435,D. Kulusevski,Dejan Kuluševski,Attacker,Sweden,데얀 쿨루셰프스키,D. 쿨루셰프스키
18784,J. Maddison,James Maddison,Midfielder,England,제임스 매디슨,J. 매디슨
336564,W. Odobert,Wilson Odobert,Attacker,France,윌손 오도베르,W. 오도베르
41104,J. Palhinha,João Palhinha,Midfielder,Portugal,주앙 팔리냐,J. 팔리냐
30776,C. Romero,Cristian Romero,Defender,Argentina,크리스티안 로메로,C. 로메로
204039,D. Udogie,Destiny Udogie,Defender,Italy,데스티니 우도기,D. 우도기
152849,M. van de Ven,Micky van de Ven,Defender,Netherlands,미키 판더펜,M. 판더펜
280,Alisson,Alisson Becker,Goalkeeper,Brazil,알리송,알리송
1096,D. Szoboszlai,Dominik Szoboszlai,Midfielder,Hungary,소보슬러이 도미니크,D. 소보슬러이
284,J. Gomez,Joe Gomez,Defender,England,조 고메스,J. 고메스
290,V. van Dijk,Virgil van Dijk,Defender,Netherlands,페어질 판데이크,V. 판데이크
289,A. Robertson,Andrew Robertson,Defender,Scotland,앤드류 로버트슨,A. 로버트슨
542,R. Gravenberch,Ryan Gravenberch,Midfielder,Netherlands,라이언 흐라벤버르흐,R. 흐라벤버르흐
6716,A. Mac Allister,Alexis Mac Allister,Midfielder,Argentina,알렉시스 맥 알리스터,A. 맥 알리스터
152654,J. Frimpong,Jeremie Frimpong,Defender,Netherlands,제레미 프림퐁,J. 프림퐁
203224,F. Wirtz,Florian Wirtz,Midfielder,Germany,플로리안 비르츠,F. 비르츠
452685,R. Ngumoha,Rio Ngumoha,Attacker,England,리오 은구모하,R. 은구모하
247,C. Gakpo,Cody Gakpo,Attacker,Netherlands,코디 학포,C. 학포
24760,G. Mamardashvili,Giorgi Mamardashvili,Goalkeeper,Georgia,기오르기 마마르다슈빌리,G. 마마르다슈빌리
306,M. Salah,Mohamed Salah,Attacker,Egypt,모하메드 살라,M. 살라
30410,F. Chiesa,Federico Chiesa,Attacker,Italy,페데리코 키에사,F. 키에사
1145,I. Konate,Ibrahima Konaté,Defender,France,이브라히마 코나테,I. 코나테
293,C. Jones,Curtis Jones,Midfielder,England,커티스 존스,C. 존스
206254,M. Kerkez,Milos Kerkez,Defender,Hungary,케르케즈 밀로시,M. 케르케즈
174565,H. Ekitike,Hugo Ekitiké,Attacker,France,위고 에키티케,H. 에키티케
135525,C. Ramsay,Calvin Ramsay,Defender,Scotland,캘빈 램지,C. 램지
397997,T. Nyoni,Trey Nyoni,Midfielder,England,트레이 뇨니,T. 뇨니
31354,G. Vicario,Guglielmo Vicario,Goalkeeper,Italy,굴리엘모 비카리오,G. 비카리오
47519,P. Porro,Pedro Porro,Defender,Spain,페드로 포로,P. 포로
25287,K. Danso,Kevin Danso,Defender,Austria,케빈 단소,K. 단소
162498,R. Drăgușin,Radu Drăgușin,Defender,Romania,라두 드러구신,R. 드러구신
19235,D. Spence,Djed Spence,Defender,England,제드 스펜스,D. 스펜스
414455,Souza,Souza,Midfielder,Brazil,소자,소자
328089,A. Gray,Archie Gray,Midfielder,England,아치 그레이,A. 그레이
237129,P. M. Sarr,Pape Matar Sarr,Midfielder,Senegal,파프 사르,P. M. 사르
270510,M. Tel,Mathys Tel,Attacker,France,마티스 텔,M. 텔
2413,Richarlison,Richarlison,Attacker,Brazil,히샤를리송,히샤를리송
18883,D. Solanke,Dominic Solanke,Attacker,England,도미닉 솔랑키,D. 솔랑키
156428,B. Austin,Brandon Austin,Goalkeeper,England,브랜든 오스틴,B. 오스틴
265826,A. Kinsky,Antonin Kinsky,Goalkeeper,Czech Republic,안토닌 킨스키,A. 킨스키
21104,R. Kolo Muani,Randal Kolo Muani,Attacker,France,란달 콜로 무아니,R. 무아니
361735,J. Rowswell,James Rowswell,Defender,England,제임스 로즈웰,J. 로즈웰
162016,X. Simons,Xavi Simons,Midfielder,Netherlands,사비 시몬스,X. 시몬스
418942,J. Wilson,James Wilson,Attacker,Wales,제임스 윌슨,J. 윌슨
380689,C. Olusesi,Callum Olusesi,Midfielder,England,칼럼 올루세시,C. 올루세시
50132,A. Bayındır,Altay Bayındır,Goalkeeper,Türkiye,알타이 바이은드르,A. 바이은드르
2931,T. Heaton,Thomas David Heaton,Goalkeeper,England,톰 히튼,T. 히튼
162511,S. Lammens,Senne Lammens,Goalkeeper,Belgium,세너 라먼스,S. 라먼스
886,D. Dalot,José Diogo Dalot Teixeira,Defender,Portugal,디오구 달로,D. 달로
382452,P. Dorgu,Patrick Chinazaekpere Dorgu,Midfielder,Denmark,파트릭 도르구,P. 도르구
328101,T. Fredricson,Tyler Fredricson,Defender,England,타일러 프레드릭슨,T. 프레드릭슨
402329,A. Heaven,Ayden Heaven,Defender,England,에이든 헤븐,A. 헤븐
440159,G. Kukonki,Godwill Kukonki,Defender,England,고드윌 쿠콘키,G. 쿠콘키
475598,D. León,Diego Basilio León Blanco,Defender,Paraguay,디에고 레온,D. 레온
2935,H. Maguire,Jacob Harry Maguire,Defender,England,해리 매과이어,H. 매과이어
37145,T. Malacia,Tyrell Johannes Chicco Malacia,Defender,Netherlands,타이렐 말라시아,T. 말라시아
2467,L. Martínez,Lisandro Martínez,Defender,Argentina,리산드로 마르티네스,L. 마르티네스
545,N. Mazraoui,Noussair Mazraoui,Defender,Morocco,누사이르 마즈라위,N. 마즈라위
891,L. Shaw,Luke Paul Hoare Shaw,Defender,England,루크 쇼,L. 쇼
342970,L. Yoro,Leny Yoro,Defender,France,레니 요로,L. 요로
532,M. de Ligt,Matthijs de Ligt,Defender,Netherlands,마테이스 더리흐트,M. 더리흐트
747,Casemiro,Carlos Henrique Casimiro,Midfielder,Brazil,카제미루,카제미루
1485,B. Fernandes,Bruno Miguel Borges Fernandes,Midfielder,Portugal,브루누 페르난드스,B. 페르난드스
383770,J. Fletcher,Jack Andrew Davidson Fletcher,Midfielder,England,잭 플레처,J. 플레처
557460,T. Fletcher,Tyler Robert Fletcher,Midfielder,Scotland,타일러 플레처,T. 플레처
284322,K. Mainoo,Kobbie Boateng Mainoo,Midfielder,England,코비 메이누,K. 메이누
344229,J. Moorhouse,Jack Lee Moorhouse,Midfielder,England,잭 무어하우스,J. 무어하우스
19220,M. Mount,Mason Tony Mount,Midfielder,England,매이슨 마운트,M. 마운트
51494,M. Ugarte,Manuel Ugarte Ribeiro,Midfielder,Uruguay,마누엘 우가르테,M. 우가르테
1165,M. Cunha,Matheus Santos Carneiro da Cunha,Attacker,Brazil,마테우스 쿠냐,M. 쿠냐
157997,A. Diallo,Amad Diallo Traoré,Attacker,Côte d'Ivoire,아마드 디알로,A. 디알로
557462,S. Lacey,Shea Lacey,Attacker,England,셰이 레이시,S. 레이시
404769,B. Mantato,Bendito Mantato,Attacker,England,벤디투 만타투,B. 만타투
20589,B. Mbeumo,Bryan Tetsadong Marceau Mbeumo,Attacker,Cameroon,브리안 음뵈모,B. 음뵈모
389309,C. Obi-Martin,Chidozie Obi-Martin,Attacker,Denmark,치도 오비마틴,O. 오비마틴
115589,B. Šeško,Benjamin Šeško,Attacker,Slovenia,베냐민 셰슈코,B. 셰슈코
70100,J. Zirkzee,Joshua Orobosa Zirkzee,Attacker,Netherlands,조슈아 지르크지,J. 지르크지
365988,A. Harris,Aidan Harris,Goalkeeper,England,에이던 해리스,A. 해리스
557523,A. Harrison,Alfie Harrison,Goalkeeper,England,알피 해리슨,A. 해리슨
18911,N. Pope,Nicholas David Pope,Goalkeeper,England,닉 포프,N. 포프
20355,A. Ramsdale,Aaron Christopher Ramsdale,Goalkeeper,England,에런 램스데일,A. 램스데일
18737,J. Ruddy,John Thomas Gordon Ruddy,Goalkeeper,England,존 루디,J. 루디
38734,S. Botman,Sven Adriaan Botman,Defender,Netherlands,스벤 보트만,S. 보트만
18961,D. Burn,Daniel Johnson Burn,Defender,England,댄 번,D. 번
284492,L. Hall,Lewis Kieran Hall,Defender,England,루이스 홀,L. 홀
2855,E. Krafth,Emil Henry Kristoffer Krafth,Defender,Sweden,에밀 크라프트,E. 크라프트
158694,T. Livramento,Valentino Francisco Livramento,Defender,England,티노 리브라멘토,T. 리브라멘토
318056,A. Murphy,Alex Murphy,Defender,Republic of Ireland,알렉스 머피,A. 머피
2806,F. Schär,Fabian Lukas Schär,Defender,Switzerland,파비안 셰어,F. 셰어
337934,L. Shahar,Leo Shahar,Defender,England,레오 샤하르,L. 샤하르
163189,M. Thiaw,Malick Laye Thiaw,Defender,Germany,말리크 차우,M. 차우
169,K. Trippier,Kieran John Trippier,Defender,England,키어런 트리피어,K. 트리피어
567998,S. Alabi,Sam Alabi,Midfielder,England,샘 알라비,S. 알라비
10135,B. Guimarães,Bruno Guimarães Rodriguez Moura,Midfielder,Brazil,브루누 기마랑이스,B. 기마랑이스
723,Joelinton,Joelinton Cássio Apolinário de Lira,Midfielder,Brazil,조엘린통,조엘린통
328105,L. Miley,Lewis Miley,Midfielder,England,루이스 마일리,L. 마일리
19163,J. Murphy,Jacob Kai Murphy,Midfielder,England,제이콥 머피,J. 머피
394165,S. Neave,Sean Thoms Neave,Attacker,England,숀 니브,S. 니브
423714,Park S.S.,Park Seung-Soo,Attacker,Korea Republic,박승수,박승수
19192,J. Ramsey,Jacob Matthew Ramsey,Midfielder,England,제이콥 램지,J. 램지
1463,J. Willock,Joseph George Willock,Midfielder,England,조 윌록,J. 윌록
18778,H. Barnes,Harvey Lewis Barnes,Midfielder,England,하비 반스,H. 반스
153430,A. Elanga,Anthony David Junior Elanga,Attacker,Sweden,안토니 엘랑가,A. 엘랑가
138787,A. Gordon,Anthony Michael Gordon,Midfielder,England,앤서니 고든,A. 고든
315237,W. Osula,William Idamudia Daugaard Osula,Attacker,Denmark,윌리엄 오술라,W. 오술라
20649,Y. Wissa,Yoane Wissa,Attacker,Congo DR,요안 위사,Y. 위사
158054,N. Woltemade,Nick Woltemade,Attacker,Germany,닉 볼테마데,N. 볼테마데
18932,F. Forster,Fraser Gerard Forster,Goalkeeper,England,프레이저 포스터,F. 포스터
26644,C. Mandas,Christos Mandas,Goalkeeper,Greece,흐리스토스 만다스,C. 만다스
118307,Đ. Petrović,Đorđe Petrović,Goalkeeper,Serbia,조르제 페트로비치,Đ. 페트로비치
22136,B. Diakité,Bafodé Diakité,Defender,France,바포데 디아키테,B. 디아키테
20093,J. Hill,James Clayton Hill,Defender,England,제임스 힐,J. 힐
330437,A. Jiménez,Alejandro Jiménez Sánchez,Defender,Spain,알렉스 히메네스,A. 히메네스
412719,V. Milosavljevic,Veljko Milosavljevic,Defender,Serbia,빌코 밀로사블레비치,V. 밀로사블레비치
6610,M. Senesi,Marcos Nicolás Senesi Barón,Defender,Argentina,마르코스 세네시,M. 세네시
18869,A. Smith,Adam James Smith,Defender,England,아담 스미스,A. 스미스
363333,J. Soler,Julio César Soler Barreto,Defender,Argentina,훌리오 솔레르,J. 솔레르
162267,A. Truffert,Adrien Truffert,Defender,France,아드리엥 트뤼페르,A. 트뤼페르
1150,T. Adams,Tyler Shaan Adams,Midfielder,USA,타일러 애덤스,T. 애덤스
129682,A. Adli,Amine Adli,Attacker,Morocco,아민 아들리,A. 아들리
1125,R. Christie,Ryan Christie,Midfielder,Scotland,라이언 크리스티,R. 크리스티
18872,L. Cook,Lewis John Cook,Midfielder,England,루이스 쿡,L. 쿡
390769,Mi. Dacosta,Michael Dacosta Gonzales,Midfielder,Spain,미카엘 다코스타,Mi. 다코스타
626383,Ma. Dacosta,Malcom Dacosta González,Midfielder,Ecuador,말콤 다코스타,Ma. 다코스타
304853,A. Scott,Alex Jay Scott,Midfielder,England,알렉스 스콧,A. 스콧
573755,C. Stevens,Charlie Stevens,Midfielder,Wales,찰리 스티븐스,C. 스티븐스
19245,M. Tavernier,Marcus Joseph Tavernier,Midfielder,England,마커스 태버니어,M. 태버니어
361485,A. Tóth,Alex Tóth,Midfielder,Hungary,토트 알렉스,A. 토트
18870,D. Brooks,David Robert Brooks,Midfielder,Wales,데이비드 브룩스,D. 브룩스
343576,B. Doak,Ben Gannon Doak,Attacker,Scotland,벤 개넌 도크,B. 도크
152856,Evanilson,Francisco Evanilson de Lima Barbosa,Attacker,Brazil,이바니우송,이바니우송
792,J. Kluivert,Justin Dean Kluivert,Midfielder,Netherlands,저스틴 클라위베르트,J. 클라위베르트
368030,E. Kroupi,Eli Junior Kroupi,Attacker,France,엘리 주니오르 크루피,E. 크루피
407806,Rayan,Rayan Vitor Simplício Rocha,Attacker,Brazil,하양,하양
402434,R. Rees-Dottin,Remy Rees-Dottin,Attacker,England,레미 리스도틴,R. 리스도틴
47499,E. Ünal,Enes Ünal,Attacker,Türkiye,에네스 위날,E. 위날
21566,B. Lecomte,Benjamin Pascal Lecomte,Goalkeeper,France,벤자맹 르콩트,B. 르콩트
1438,B. Leno,Bernd Leno,Goalkeeper,Germany,베른트 레노,B. 레노
288129,A. McNally,Alfie Shane McNally,Goalkeeper,England,알피 맥널리,A. 맥널리
384981,S. Amissah,Samuel Amissah,Defender,England,새뮤얼 아미사,S. 아미사
2729,J. Andersen,Joachim Christian Andersen,Defender,Denmark,요아킴 안데르센,J. 안데르센
152967,C. Bassey,Calvin Bassey Ughelumba,Defender,Nigeria,칼빈 배시,C. 배시
2920,T. Castagne,Timothy Castagne,Defender,Belgium,티모시 카스타뉴,T. 카스타뉴
131,J. Cuenca,Jorge Cuenca Barreno,Defender,Spain,호르헤 쿠엔카,J. 쿠엔카
18814,I. Diop,Issa Laye Lucas Jean Diop,Defender,France,이사 디오프,I. 디오프
19549,A. Robinson,Antonee Robinson,Defender,USA,안토니 로빈슨,A. 로빈슨
657,K. Tete,Kenny Joelle Tete,Defender,Netherlands,케니 테터,K. 테터
1934,S. Berge,Sander Gard Bolin Berge,Midfielder,Norway,산데르 베르게,S. 베르게
278133,O. Bobb,Oscar Bobb,Midfielder,Norway,오스카 밥,O. 밥
19025,T. Cairney,Thomas Cairney,Midfielder,Scotland,톰 케어니,T. 케어니
1455,A. Iwobi,Alexander Chuka Iwobi,Midfielder,Nigeria,알렉스 이워비,A. 이워비
389315,J. King,Joshua King,Midfielder,England,조시 킹,J. 킹
2823,S. Lukić,Saša Lukić,Midfielder,Serbia,사샤 루키치,S. 루키치
19480,H. Reed,Harrison James Reed,Midfielder,England,해리슨 리드,H. 리드
557335,S. Ridgeon,Seth Ridgeon,Midfielder,England,세스 리전,S. 리전
19032,R. Sessegnon,Kouassi Ryan Sessegnon,Midfielder,England,라이언 세세뇽,R. 세세뇽
1161,E. Smith Rowe,Emile Smith Rowe,Midfielder,England,에밀 스미스 로우,E. 스미스 로우
19221,H. Wilson,Harry Wilson,Midfielder,Wales,해리 윌슨,H. 윌슨
1696,S. Chukwueze,Samuel Chimerenka Chukwueze,Attacker,Nigeria,사무엘 추쿠에제,S. 추쿠에제
2887,R. Jiménez,Raúl Alonso Jiménez Rodríguez,Attacker,Mexico,라울 히메네스,R. 히메네스
237819,Kevin,Kevin Santos Lopes de Macedo,Midfielder,Brazil,케빙,케빙
436443,J. Kusi-Asare,Jonah Kusi-Asare,Attacker,Sweden,요나 쿠시아사레,J. 쿠시아사레
195106,R. Muniz,Rodrigo Muniz Carvalho,Attacker,Brazil,호드리구 무니스,R. 무니스
19341,D. Bentley,Daniel Ian Bentley,Goalkeeper,England,다니엘 벤틀리,D. 벤틀리
19143,S. Johnstone,Samuel Luke Johnstone,Goalkeeper,England,샘 존스톤,S. 존스톤
1590,J. Sá,José Pedro Malheiro de Sá,Goalkeeper,Portugal,주제 사,J. 사
280687,H. Bueno,Hugo Bueno López,Midfielder,Spain,우고 부에노,H. 부에노
135334,S. Bueno,Santiago Ignacio Bueno Sciutto,Defender,Uruguay,산티아고 부에노,S. 부에노
18742,M. Doherty,Matthew James Doherty,Defender,Republic of Ireland,맷 도허티,M. 도허티
282770,R. Gomes,Rodrigo Martins Gomes,Defender,Portugal,호드리구 고메스,R. 고메스
66407,L. Krejčí,Ladislav Krejci,Defender,Czechia,라디슬라프 크레이치,L. 크레이치
397999,S. Olagunju,Saheed Olagunju,Defender,England,사히드 올라군주,S. 올라군주
449245,P. Lima,Pedro Henrique Cardoso de Lima,Defender,Brazil,페드루 리마,P. 리마
41606,Toti,Tote António Gomes,Defender,Portugal,토티,토티
265782,D. Møller Wolfe,David Møller Wolfe,Defender,Norway,다비드 묄레르 올페,D. 묄레르 올페
265784,André,André Trindade da Costa Neto,Midfielder,Brazil,안드레,안드레
20665,J. Bellegarde,Jean-Ricner Bellegarde,Midfielder,France,장리크네 벨가르드,J. 벨가르드
546745,T. Edozie,Tom Edozie,Midfielder,England,톰 에도지,T. 에도지
896,A. Gomes,Adilson Angel Abreu de Almeida Gomes,Midfielder,England,앤젤 고메스,A. 고메스
195103,J. Gomes,João Victor Gomes da Silva,Midfielder,Brazil,주앙 고메스,J. 고메스
195717,Y. Mosquera,Yerson Mosquera Valdelamar,Defender,Colombia,예르손 모스케라,Y. 모스케라
401098,L. Rawlings,Luke Rawlings,Midfielder,England,루크 롤링스,L. 롤링스
19484,A. Armstrong,Adam James Armstrong,Attacker,England,아담 암스트롱,A. 암스트롱
110153,T. Arokodare,Toluwalase Emmanuel Arokodare,Attacker,Nigeria,톨루 아로코다레,T. 아로코다레
385726,E. González,Enso David González Medina,Attacker,Paraguay,엔소 곤살레스,E. 곤살레스
24888,Hwang H.C.,Hwang Hee-Chan,Attacker,Korea Republic,황희찬,황희찬
456206,M. Mane,Mateus Bula Dami Mané,Attacker,England,마테우스 마네,M. 마네
379678,E. Sutherland,Ethan Sutherland,Midfielder,Scotland,이선 서덜랜드,E. 서덜랜드
296560,J. Tchatchoua,Jackson Tchatchoua,Midfielder,Cameroon,잭슨 차추아,J. 차추아
415992,K. Miściur,Kornel Artur Miściur,Goalkeeper,England,코르넬 미시치우르,K. 미시치우르
342467,Á. Pécsi,Pécsi Ármin,Goalkeeper,Hungary,페치 아르민,Á. 페치
18889,F. Woodman,Frederick John Woodman,Goalkeeper,England,프레디 우드먼,F. 우드먼
328081,W. Omoruyi,Wellity Lucky Omoruyi,Defender,Spain,웰리티 오모루이,W. 오모루이
380666,C. Pinnington,Carter Pinnington,Defender,England,카터 피닝턴,C. 피닝턴
339205,M. Laffey,Michael Mark Paul Laffey,Midfielder,England,마이클 래피,M. 래피
389032,K. Morrison,Kieran Morrison,Midfielder,England,키어런 모리슨,K. 모리슨
407032,A. Nallo,Amara Nallo,Defender,England,아마라 날로,A. 날로
301286,T. Pilling,Tommy James Pilling,Midfielder,England,토미 필링,T. 필링
344223,K. Figueroa,Keyrol Alexis Figueroa Norales,Attacker,USA,케이롤 피게로아,K. 피게로아
286764,K. Gordon,Kaide Gordon,Midfielder,England,카이드 고든,K. 고든
2273,Kepa,Kepa Arrizabalaga Revuelta,Goalkeeper,Spain,케파 아리사발라가,케파 A.
416697,J. Porter,Jack Porter,Goalkeeper,England,잭 포터,J. 포터
403221,K. Ranson,Khari Ranson,Goalkeeper,England,카리 랜슨,K. 랜슨
19465,D. Raya,David Raya Martin,Goalkeeper,Spain,다비드 라야,D. 라야
337933,A. Fedorushchenko,Alexei Rojas Fedorushchenko,Goalkeeper,Colombia,알렉세이 로하스 페도루셴코,A. 페도루셴코
342243,T. Setford,Tommy Hogan Setford,Goalkeeper,England,토미 세트퍼드,T. 세트퍼드
22224,G. Magalhães,Gabriel dos Santos Magalhães,Defender,Brazil,가브리에우 마갈량이스,G. 마갈량이스
127817,P. Hincapié,Piero Martín Hincapié Reyna,Defender,Ecuador,피에로 인카피에,P. 인카피에
313245,M. Lewis-Skelly,Myles Anthony Lewis-Skelly,Defender,England,마일스 루이스스켈리,M. 루이스스켈리
333682,C. Mosquera,Cristhian Andrey Mosquera Ibargüen,Defender,Spain,크리스티안 모스케라,C. 모스케라
380696,J. Nichols,Joshua Nichols,Defender,England,조슈아 니콜스,J. 니콜스
22090,W. Saliba,William Alain André Gabriel Saliba,Defender,France,윌리앙 살리바,W. 살리바
482903,M. Salmon,Marli Ellis Salmon,Defender,England,말리 샐먼,M. 샐먼
38746,J. Timber,Jurriën David Norman Timber,Defender,Netherlands,유리언 팀버르,J. 팀버르
19959,B. White,Benjamin William White,Defender,England,벤 화이트,B. 화이트
442044,M. Dowman,Max Dowman,Midfielder,England,맥스 다우먼,M. 다우먼
19586,E. Eze,Eberechi Oluchi Eze,Midfielder,England,에베레치 에제,E. 에제
553530,I. Ibrahim,Ife Ibrahim,Midfielder,England,이페 이브라힘,I. 이브라힘
47311,M. Merino,Mikel Merino Zazón,Midfielder,Spain,미켈 메리노,M. 메리노
30407,C. Nørgaard,Christian Thers Nørgaard,Midfielder,Denmark,크리스티안 뇌르고르,C. 뇌르고르
37127,M. Ødegaard,Martin Ødegaard,Midfielder,Norway,마르틴 외데고르,M. 외데고르
2937,D. Rice,Declan Rice,Midfielder,England,데클런 라이스,D. 라이스
47315,M. Zubimendi,Martín Zubimendi Ibáñez,Midfielder,Spain,마르틴 수비멘디,M. 수비멘디
463908,B. Bailey-Joseph,Brando Nyle Bailey-Joseph,Attacker,England,브랜도 베일리조세프,B. 베일리조세프
643,G. Jesus,Gabriel Fernando de Jesus,Attacker,Brazil,가브리에우 제주스,G. 제주스
18979,V. Gyökeres,Viktor Einar Gyökeres,Attacker,Sweden,빅토르 예케레스,V. 예케레스
457731,A. Annous,Andre Harriman-Annous,Attacker,England,안드레 해리먼아누스,A. 해리먼아누스
