coach_id, name_short, name_long, nationality, name_ko_long, name_ko_short
1582,E. Valverde,Ernesto Valverde Tejedor,Spain,에르네스토 발베르데,E. 발베르데
1601,A. Celades,Albert Celades López,Spain,알베르트 셀라데스,A. 셀라데스
3234,R. Baraja,Rubén Baraja Vegas,Spain,루벤 바라하,R. 바라하
7687,C. Miranda,Carolina Miranda,Spain,카롤리나 미란다,C. 미란다
10398,Voro,Salvador González Marco,Spain,보로,보로
12474,C. Corberán,Carlos Corberán Vallet,Spain,카를로스 코르베란,C. 코르베란
25638,C. Corberán,Carlos Corberán Vallet,Spain,카를로스 코르베란,C. 코르베란
1585,Marcelino,Marcelino García Toral,Spain,마르셀리노,마르셀리노
21,Q. Sánchez Flores,Enrique Sánchez Flores,Spain,엔리케 산체스 플로레스,Q. 산체스 플로레스
1974,M. Almeyda,Matías Jesús Almeyda,Argentina,마티아스 알메이다,M. 알메이다
2895,J. Caparrós,Joaquín de Jesús Caparrós Camino,Spain,호아킨 카파로스,J. 카파로스
5391,García Pimienta,Francisco Javier García Pimienta,Spain,프란시스코 가르시아 피미엔타,F. G. 피미엔타
18101,C. Giráldez,Claudio Giráldez González,Spain,클라우디오 히랄데스,C. 히랄데스
25640,C. Giráldez,Claudio Giráldez González,Spain,클라우디오 히랄데스,C. 히랄데스
6714,J. Calero,Julián Calero Fernández,Spain,훌리안 칼레로,J. 칼레로
18639,Felipe,Felipe Miñambres Fernández,Spain,펠리페 미냠브레스,펠리페
24600,Á. del Moral,Álvaro del Moral Galán,Spain,알바로 델 모랄,Á. 델 모랄
25678,L. Castro,Luis Castro Sampedro,Spain,루이스 카스트로,L. 카스트로
6757,Manolo González,José Manuel González Álvarez,Spain,마놀로 곤살레스,M. 곤살레스
25639,Manolo González,José Manuel González Álvarez,Spain,마놀로 곤살레스,M. 곤살레스
1584,Z. Zidane,Zinédine Zidane,France,지네딘 지단,Z. 지단
6801,X. Alonso,Xabier Alonso Olano,Spain,사비 알론소,X. 알론소
25679,Á. Arbeloa,Álvaro Arbeloa Coca,Spain,알바로 아르벨로아,Á. 아르벨로아
45,Luis García,Luis García Plaza,Spain,루이스 가르시아,L. 가르시아
2910,J. Muñiz,Juan Ramón López Muñiz,Spain,후안 라몬 무니스,J. 무니스
8678,J. Cabello,Javier Antonio Cabello Rubio,Spain,하비에르 카베요,J. 카베요
3,M. Pellegrini,Manuel Luis Pellegrini Ripamonti,Chile,마누엘 펠레그리니,M. 펠레그리니
10400,A. Trujillo,Alexis Humberto Trujillo Oramas,Spain,알렉시스 트루히요,A. 트루히요
1596,J. Bordalás,José Bordalás Jiménez,Spain,호세 보르달라스,J. 보르달라스
19892,R. Reyes,Rubén Reyes Díaz,Spain,루벤 레예스,R. 레예스
82,Míchel,Miguel Ángel Sánchez Muñoz,Spain,미첼,미첼
2114,J. Unzué,Juan Carlos Unzué Labiano,Spain,후안 카를로스 운수에,J. 운수에
3230,Eusebio Sacristán,Eusebio Sacristán Mena,Spain,에우세비오 사크리스탄,에우세비오 사크리스탄
7629,Michel,Miguel Ángel Carrilero González,Spain,미겔 앙헬 카리레로,미겔
6904,Sergio Francisco,Sergio Francisco Ramos,Spain,세르히오 프란시스코,S. 프란시스코
25673,Pellegrino Matarazzo,Pellegrino Matarazzo,United States,펠레그리노 마타라초,P. 마타라초
1973,V. Paunović,Veljko Paunović,Serbia,벨코 파우노비치,V. 파우노비치
6803,R. Aguirre,Roberto Aguirre García,Spain,로베르토 아기레,R. 아기레
21321,G. Vallori,Guillermo Juan Vallori Grimalt,Spain,기예르모 바요리,G. 바요리
25677,G. Almada,Guillermo Almada Alves,Uruguay,기예르모 알마다,G. 알마다
10399,P. Vasiljević,Petar Vasiljević,Serbia,페타르 바실리예비치,P. 바실리예비치
13592,A. Lisci,Alessio Lisci,Italy,알레시오 리스키,A. 리스키
21839,I. Pérez,Iñigo Pérez Soto,Spain,이니고 페레스,I. 페레스
25641,I. Pérez,Iñigo Pérez Soto,Spain,이니고 페레스,I. 페레스
13843,E. Sarabia,Eder Sarabia Armesto,Spain,에데르 사라비아,E. 사라비아
16328,S. Mantecón,Sergio Martínez Mantecón,Spain,세르히오 만테콘,S. 만테콘
1588,J. Arrasate,Jagoba Arrasate Elustondo,Spain,야고바 아라사테,J. 아라사테
27832,M. Demichelis,Martín Demichelis,Argentina,마르틴 데미첼리스,M. 데미첼리스
2412,M. Sarri,Maurizio Sarri,Italy,마우리치오 사리,M. 사리
2902,F. Grosso,Fabio Grosso,Italy,파비오 그로소,F. 그로소
3722,D. Ballardini,Davide Ballardini,Italy,다비데 발라르디니,D. 발라르디니
3386,M. Allegri,Massimiliano Allegri,Italy,마시밀리아노 알레그리,M. 알레그리
25380,M. Landucci,Marco Landucci,Italy,마르코 란두치,M. 란두치
2425,A. Conte,Antonio Conte,Italy,안토니오 콘테,A. 콘테
2433,W. Mazzarri,Walter Mazzarri,Italy,발테르 마차리,W. 마차리
18524,F. Calzona,Francesco Calzona,Italy,프란체스코 칼초나,F. 칼초나
623,G. Cioffi,Gabriele Cioffi,Italy,가브리엘레 초피,G. 초피
1217,K. Runjaic,Kosta Runjaić,Germany,코스타 루냐이치,K. 루냐이치
28,P. Vieira,Patrick Donalé Vieira,France,파트리크 비에라,P. 비에라
176,A. Shevchenko,Andrii Shevchenko,Ukraine,안드리 셰브첸코,A. 셰브첸코
18685,D. De Rossi,Daniele De Rossi,Italy,다니엘레 데 로시,D. 데 로시
2432,I. Tudor,Igor Tudor,Croatia,이고르 투도르,I. 투도르
4842,T. Motta,Thiago Motta Santon Olivares,Italy,티아고 모타,T. 모타
25878,L. Spalletti,Luciano Spalletti,Italy,루치아노 스팔레티,L. 스팔레티
2393,G. Gasperini,Gian Piero Gasperini,Italy,잔 피에로 가스페리니,G. 가스페리니
2853,C. Ranieri,Claudio Ranieri,Italy,클라우디오 라니에리,C. 라니에리
2408,I. Juric,Ivan Jurić,Croatia,이반 유리치,I. 유리치
18433,R. Palladino,Raffaele Palladino,Italy,라파엘레 팔라디노,R. 팔라디노
1611,V. Italiano,Vincenzo Italiano,Italy,빈첸초 이탈리아노,V. 이탈리아노
2413,S. Mihajlović,Siniša Mihajlović,Serbia,시니샤 미하일로비치,S. 미하일로비치
15936,L. Vigiani,Luca Vigiani,Italy,루카 비지아니,L. 비지아니
9797,C. Prandelli,Claudio Cesare Prandelli,Italy,클라우디오 체사레 프란델리,C. 프란델리
16723,P. Vanoli,Paolo Vanoli,Italy,파올로 바놀리,P. 바놀리
2915,M. Baroni,Marco Baroni,Italy,마르코 바로니,M. 바로니
27750,L. Colucci,Leonardo Colucci,Italy,레오나르도 콜루치,L. 콜루치
1608,P. Zanetti,Paolo Zanetti,Italy,파올로 자네티,P. 자네티
27396,P. Sammarco,Paolo Sammarco,Italy,파올로 삼마르코,P. 삼마르코
15642,C. Chivu,Cristian Eugen Chivu,Romania,크리스티안 키부,C. 키부
2548,E. Corini,Eugenio Corini,Italy,에우제니오 코리니,E. 코리니
2916,D. Nicola,Davide Nicola,Italy,다비데 니콜라,D. 니콜라
28386,M. Giampaolo,Marco Giampaolo,Italy,마르코 잠파올로,M. 잠파올로
293,F. Pecchia,Fabio Pecchia,Italy,파비오 페키아,F. 페키아
8800,L. Apolloni,Luigi Apolloni,Italy,루이지 아폴로니,L. 아폴로니
8804,S. Morrone,Stefano Morrone,Italy,스테파노 모로네,S. 모로네
25381,C. Cuesta,Carlos Cuesta García,Spain,카를로스 쿠에스타 가르시아,C. 쿠에스타
411,A. Gilardino,Alberto Gilardino,Italy,알베르토 질라르디노,A. 질라르디노
10412,G. Colonnello,Gregorio Colonnello,Italy,그레고리오 콜로넬로,G. 콜로넬로
25804,O. Hiljemark,Oscar Hiljemark,Sweden,오스카르 힐예마르크,O. 힐예마르크
2430,E. Di Francesco,Eusebio Luca Di Francesco,Italy,에우세비오 디 프란체스코,E. 디 프란체스코
2441,M. Giampaolo,Marco Freddie Giampaolo,Italy,마르코 프레디 잠파올로,M. 잠파올로
6114,L. Gotti,Luca Gotti,Italy,루카 고티,L. 고티
8827,R. Rizzo,Roberto Rizzo,Italy,로베르토 리초,R. 리초
8843,P. Maragliulo,Primo Maragliulo,Italy,프리모 마라글리울로,P. 마라글리울로
21528,C. Fàbregas,Francesc Fàbregas i Soler,Spain,세스크 파브레가스,C. 파브레가스
21675,O. Roberts,Osian Roberts,Wales,오시안 로버츠,O. 로버츠
10281,J. Heynckes,Josef Heynckes,Germany,유프 하인케스,J. 하인케스
12590,V. Kompany,Vincent Jean Mpoy Kompany,Belgium,뱅상 콩파니,V. 콩파니
1538,C. Streich,Christian Streich,Germany,크리스티안 슈트라이히,C. 슈트라이히
23027,J. Schuster,Julian Schuster,Germany,율리안 슈스터,J. 슈스터
8,R. Hasenhüttl,Ralph Hasenhüttl,Austria,랄프 하젠휘틀,R. 하젠휘틀
17944,D. Bauer,Daniel Bauer,Germany,다니엘 바우어,D. 바우어
22724,P. Simonis,Paul Simonis,Netherlands,파울 시모니스,P. 시모니스
28075,D. Hecking,Dieter Hecking,Germany,디터 헤킹,D. 헤킹
1348,O. Werner,Ole Werner,Germany,올레 베르너,O. 베르너
14619,T. Schaaf,Thomas Schaaf,Germany,토마스 샤프,T. 샤프
27480,D. Thioune,Daniel Thioune,Germany,다니엘 티우네,D. 티우네
2017,G. Seoane,Gerardo Seoane Castro,Switzerland,헤라르도 세오아네,G. 세오아네
1544,U. Fischer,Urs Fischer,Switzerland,우르스 피셔,U. 피셔
1676,B. Henriksen,Bo Bjørnholt Henriksen,Denmark,보 헨릭센,B. 헨릭센
12963,J. Lichte,Jan-Moritz Lichte,Germany,얀모리츠 리히테,J. 리히테
1528,N. Kovač,Niko Kovač,Croatia,니코 코바치,N. 코바치
13491,E. Terzić,Edin Terzić,Germany,에딘 테르지치,E. 테르지치
1918,C. Ilzer,Christian Ilzer,Austria,크리스티안 일처,C. 일처
7611,P. Matarazzo,Pellegrino Matarazzo,USA,펠레그리노 마타라초,P. 마타라초
2869,K. Hjulmand,Kasper Hjulmand,Denmark,카스페르 율만,K. 율만
1549,D. Toppmöller,Dino Nicolas Toppmöller,Germany,디노 토프묄러,D. 토프묄러
25910,A. Riera,Albert Riera Ortega,Spain,알베르트 리에라,A. 리에라
1522,J. Thorup,Jess Christian Thorup,Denmark,예스 토루프,J. 토루프
1531,M. Schmidt,Martin Schmidt,Switzerland,마르틴 슈미트,M. 슈미트
6368,T. Strobl,Tobias Strobl,Germany,토비아스 슈트로블,T. 슈트로블
14910,S. Wagner,Sandro Wagner,Germany,산드로 바그너,S. 바그너
1399,S. Hoeneß,Sebastian Hoeneß,Germany,제바스티안 회네스,S. 회네스
3080,B. Labbadia,Bruno Labbadia,Germany,브루노 라바디아,B. 라바디아
1535,A. Beierlorzer,Achim Beierlorzer,Germany,아힘 바이어로처,A. 바이어로처
24858,Z. Löw,Zsolt Löw,Hungary,뢰브 졸트,Z. 뢰브
21838,M. Polzin,Merlin Polzin,Germany,메를린 폴친,M. 폴친
1335,F. Schmidt,Frank Schmidt,Germany,프랑크 슈미트,F. 슈미트
1426,B. Svensson,Bo Svensson,Denmark,보 스벤손,B. 스벤손
1533,S. Baumgart,Steffen Baumgart,Germany,슈테펜 바움가르트,S. 바움가르트
10298,A. Hofschneider,André Hofschneider,Germany,안드레 호프슈나이더,A. 호프슈나이더
5330,A. Blessin,Alexander Matthias Blessin,Germany,알렉산더 블레신,A. 블레신
10361,E. Lienen,Ewald Lienen,Germany,에발트 리넨,E. 리넨
1537,F. Funkel,Friedhelm Funkel,Germany,프리트헬름 풍켈,F. 풍켈
3099,A. Pawlak,André Pawlak,Germany,안드레 파블라크,A. 파블라크
6278,A. Bouhazama,Abdelaziz Bouhazama,France,압델라지즈 부하자마,A. 부하자마
19560,A. Dujeux,Alexandre Dujeux,France,알렉상드르 뒤죄,A. 뒤죄
68,B. Génésio,Bruno Génésio,France,브뤼노 제네시오,B. 제네시오
25653,B. Genesio,Bruno Génésio,France,브뤼노 제네시오,B. 제네시오
2431,P. Fonseca,Paulo Alexandre Rodrigues Fonseca,Portugal,파울루 폰세카,P. 폰세카
5329,J. Maciel,Jorge Miguel Gonçalves Maciel,Portugal,조르제 마시엘,J. 마시엘
24,A. Villas-Boas,Luís André Pina Cabral Villas-Boas,Portugal,안드레 빌라스-보아스,A. 빌라스-보아스
2424,R. De Zerbi,Roberto De Zerbi,Italy,로베르토 데 체르비,R. 데 체르비
13846,N. Larguet,Nasser Larguet,Morocco,나세르 라르게,N. 라르게
25656,H. Beye,Habib Bèye,Senegal,하비브 베이,H. 베이
42,C. Gourcuff,Christian Gourcuff,France,크리스티앙 구르퀴프,C. 구르퀴프
1104,L. Castro,Luís Manuel Ferreira de Castro,Portugal,루이스 카스트로,L. 카스트로
2550,P. Aristouy,Pierre Aristouy,France,피에르 아리스투이,P. 아리스투이
3044,A. Kombouare,Antoine Kombouare,France,앙투안 콩부아레,A. 콩부아레
13556,R. Domenech,Raymond Domenech,France,레몽 도메네크,R. 도메네크
19793,A. Kantari,Ahmed Kantari,Morocco,아흐메드 칸타리,A. 칸타리
28141,V. Halilhodžić,Vahid Halilhodžić,Bosnia and Herzegovina,바히드 할릴호지치,V. 할릴호지치
1530,L. Favre,Lucien Favre,Switzerland,뤼시앵 파브르,L. 파브르
25730,C. Puel,Claude Puel,France,클로드 퓌엘,C. 퓌엘
193,L. Enrique,Luis Enrique Martínez García,Spain,루이스 엔리케,L. 엔리케
1542,A. Hütter,Adi Hütter,Austria,아디 휘터,A. 휘터
127,J. Sampaoli,Jorge Luis Sampaoli Moya,Argentina,호르헤 삼파올리,J. 삼파올리
4293,S. Tambouret,Sébastien Tambouret,France,세바스티엥 탐부레,S. 탐부레
8665,F. Haise,Franck Haise,France,프랑크 에즈,F. 에즈
17926,H. Beye,Habib Bèye,Senegal,하비브 베이,H. 베이
39,F. Antonetti,Frédéric Antonetti,France,프레데릭 앙토네티,F. 앙토네티
25729,G. O'Neil,Gary O'Neil,England,개리 오닐,G. 오닐
1459,P. Montanier,Philippe Jacques William Montanier,France,필리프 몽타니에,P. 몽타니에
10260,M. Debeve,Mickaël Debeve,France,미카엘 드베브,M. 드베브
20377,C. Martínez,Carles Martínez Novell,Spain,카를레스 마르티네스,C. 마르티네스
1466,O. Pantaloni,Olivier Pantaloni,France,올리비에 팡탈로니,O. 팡탈로니
3029,M. Landreau,Mickaël Landreau,France,미카엘 랑드로,M. 랑드로
10226,A. Dupont,Alex Dupont,France,알렉스 뒤퐁,A. 뒤퐁
19112,E. Roy,Éric Serge Roy,France,에리크 루아,E. 루아
1470,C. Pélissier,Christophe Pélissier,France,크리스토프 펠리시에,C. 펠리시에
3033,C. Daury,Cédric Daury,France,세드릭 도리,C. 도리
10264,F. Gillot,Francis Gillot,France,프랑시스 질로,F. 질로
25657,C. Pelissier,Christophe Pélissier,France,크리스토프 펠리시에,C. 펠리시에
1467,P. Le Guen,Paul Joseph Marie Le Guen,France,폴 르겐,P. 르겐
19134,D. Digard,Didier Frédéric Thierry Digard,France,디디에 디가르,D. 디가르
1524,L. Bölöni,Ladislau Iosif Bölöni,Romania,라디슬라우 뵐뢰니,L. 뵐뢰니
7299,J. Pinot,José Pinot,France,주제 피노,J. 피노
10194,S. Le Mignan,Stéphane Le Mignan,France,스테판 르미냥,S. 르미냥
25881,B. Tavenot,Benoît Tavenot,France,브누아 타브노,B. 타브노
7514,S. Gilli,Stéphane Gilli,France,스테판 질리,S. 질리
7515,R. Girard,René Girard,France,르네 지라르,R. 지라르
27749,A. Kombouare,Antoine Kombouare,France,앙투안 콩부아레,A. 콩부아레
10240,E. Sikora,Eric Sikora,France,에릭 시코라,E. 시코라
21562,P. Sage,Pierre Sage,France,피에르 사주,P. 사주
783,P. Pezzolano,Paulo César Pezzolano Suárez,Uruguay,파울로 페솔라노,P. 페솔라노
25654,J. Gracia,Javier Gracia Carlos,Spain,하비 그라시아,J. 그라시아
26677,E. Still,Edward Still,Belgium,에드워드 스틸,E. 스틸
26889,C. Daniels,Charlie Daniels,England,찰리 대니얼스,C. 대니얼스
600,S. Rusk,Simon Edward Rusk,England,사이먼 러스크,S. 러스크
10665,W. Still,William Still,England,윌리엄 스틸,W. 스틸
1878,M. Cifuentes,Martí Cifuentes Corvillo Bajare,Spain,마르티 시푸엔테스,M. 시푸엔테스
2855,M. Stowell,Michael Stowell,England,마이클 스토웰,M. 스토웰
5380,R. van Nistelrooy,Ruud van Nistelrooij,Netherlands,뤼트 판 니스텔로이,R. 판 니스텔로이
5668,C. Shakespeare,Craig Shakespeare,England,크레이그 셰익스피어,C. 셰익스피어
9443,B. Dawson,Ben Dawson,England,벤 도슨,B. 도슨
9534,H. Redknapp,Harry Redknapp,England,해리 레드냅,H. 레드냅
10390,G. Zola,Gianfranco Zola,Italy,잔프랑코 졸라,G. 졸라
12108,S. Spooner,Steve Spooner,England,스티브 스푸너,S. 스푸너
22922,C. Davies,Chris Davies,Wales,크리스 데이비스,C. 데이비스
1916,G. Struber,Gerhard Struber,Austria,게르하르트 슈트루버,G. 슈트루버
3594,N. Pearson,Nigel Graham Pearson,England,나이젤 피어슨,N. 피어슨
28341,R. Hodgson,Roy Hodgson,England,로이 호지슨,R. 호지슨
610,P. Lambert,Paul Lambert,Scotland,폴 램버트,P. 램버트
2951,B. Klug,Bryan Klug,England,브라이언 클루그,B. 클루그
16556,K. McKenna,Kieran McKenna,Northern Ireland,키어런 매케나,K. 매케나
93,A. Neil,Alexander Francis Neil,Scotland,알렉스 닐,A. 닐
111,A. Barrett,Adam Nicholas Barrett,England,애덤 배럿,A. 배럿
583,J. Edwards,Joe Edwards,England,조 에드워즈,J. 에드워즈
24196,D. Livermore,David Livermore,England,데이비드 리버모어,D. 리버모어
2397,P. Heckingbottom,Paul Heckingbottom,England,폴 헤킹보톰,P. 헤킹보톰
22943,M. Marsh,Michael Andrew Marsh,England,마이클 마시,M. 마시
88,T. Mowbray,Anthony Mark Mowbray,England,토니 모브레이,T. 모브레이
14480,R. Mason,Ryan Glen Mason,England,라이언 메이슨,R. 메이슨
24211,C. Brunt,Chris Brunt,Northern Ireland,크리스 브런트,C. 브런트
25015,J. Morrison,James Morrison,Scotland,제임스 모리슨,J. 모리슨
25745,J. Morrison,James Morrison,Scotland,제임스 모리슨,J. 모리슨
6,C. Wilder,Christopher John Wilder,England,크리스 와일더,C. 와일더
1328,T. Walter,Tim Laszlo Walter,Germany,팀 발터,T. 발터
2721,S. Jakirović,Sergej Jakirović,Bosnia and Herzegovina,세르게이 야키로비치,S. 야키로비치
3570,A. Dawson,Andrew Stuart Dawson,England,앤드루 도슨,A. 도슨
9535,M. Phelan,Michael Phelan,England,마이크 필런,M. 필런
18918,R. Sellés,Rubén Sellés Salvador,Spain,루벤 셀례스,R. 셀례스
1923,V. Ismaël,Valérien Alexandre Ismaël,France,발레리앙 이스마엘,V. 이스마엘
24511,D. Lowe,David Anthony Lowe,England,데이비드 로,D. 로
25651,V. Ismael,Valérien Ismaël,France,발레리앙 이스마엘,V. 이스마엘
27482,D. Johnson,Damien Johnson,Northern Ireland,데이미언 존슨,D. 존슨
2956,J. Eustace,John Mark Eustace,England,존 유스터스,J. 유스터스
636,R. Edwards,Robert Owen Edwards,Wales,롭 에드워즈,R. 에드워즈
9355,K. Hellberg,Kim Alexander Hellberg,Sweden,킴 헬베리,K. 헬베리
16246,M. Carrick,Michael Carrick,England,마이클 캐릭,M. 캐릭
18588,G. Percovich,Galileo Percovich,Uruguay,갈릴레오 페르코비치,G. 페르코비치
1518,P. Clement,Philippe Clement,Belgium,필리프 클레망,P. 클레망
1541,D. Wagner,David Wagner,USA,데이비드 바그너,D. 바그너
10389,A. Irvine,Alan Irvine,Scotland,앨런 어바인,A. 어바인
12320,L. Manning,Liam Manning,England,리엄 매닝,L. 매닝
17954,J. Wilshere,Jack Andrew Garry Wilshere,England,잭 윌셔,J. 윌셔
19100,A. Russell,Allan Russell,Scotland,앨런 러셀,A. 러셀
19380,J. Thorup,Johannes Hoff Thorup,Denmark,요하네스 토루프,J. 토루프
31,J. Stéphan,Julien Stéphan,France,쥘리앙 스테판,J. 스테판
97,M. Warburton,Mark Warburton,England,마크 워버튼,M. 워버튼
16497,P. Hall,Paul Anthony Hall,Jamaica,폴 홀,P. 홀
1956,H. Pedersen,Henrik Pedersen,Denmark,헨리크 페데르센,H. 페데르센
2948,T. Pulis,Tony Pulis,Wales,토니 퓰리스,토니 퓰리스
2953,S. Agnew,Steve Agnew,England,스티브 애그뉴,S. 애그뉴
13539,N. Thompson,Neil Thompson,England,닐 톰슨,N. 톰슨
22937,D. Röhl,Danny Röhl,Germany,다니 뢸,D. 뢸
605,M. Robins,Mark Gordon Robins,England,마크 로빈스,M. 로빈스
18432,N. Pèlach,Narcís Pèlach Nadal,Spain,나르시스 펠라치,N. 펠라치
21607,P. Gallagher,Paul Gallagher,Scotland,폴 갤러거,P. 갤러거
22249,R. Shawcross,Ryan Shawcross,England,라이언 쇼크로스,R. 쇼크로스
9465,L. Williams,Luke Williams,England,루크 윌리엄스,L. 윌리엄스
9536,F. Guidolin,Francesco Guidolin,Italy,프란체스코 귀돌린,F. 귀돌린
10364,A. Curtis,Alan Curtis,Wales,앨런 커티스,A. 커티스
21599,A. Sheehan,Alan Michael Anthony Sheehan,Republic of Ireland,앨런 시헌,A. 시헌
25652,V. Matos,Vítor Emanuel Soares Matos,Portugal,비토르 마토스,V. 마토스
96,N. Jones,Nathan Jason Jones,Wales,네이선 존스,N. 존스
12107,D. Holden,Dean Holden,England,딘 홀든,D. 홀든
13561,C. Fleming,Curtis Fleming,Republic of Ireland,커티스 플레밍,C. 플레밍
19047,A. Hayes,Anthony Hayes,Republic of Ireland,앤서니 헤이스,A. 헤이스
20723,J. Pearce,Jason Daniel Pearce,England,제이슨 피어스,J. 피어스
2816,G. Rowett,Gary Rowett,England,게리 로웻,G. 로웻
25753,M. Bloomfield,Matt Bloomfield,England,맷 블룸필드,M. 블룸필드
20,F. Lampard,Frank James Lampard,England,프랭크 램파드,F. 램파드
9466,M. Venus,Mark Venus,England,마크 비너스,M. 비너스
23922,R. Carr,Rhys Carr,Wales,리스 카,R. 카
3575,S. Bassey,Simon Bassey,England,사이먼 배시,S. 배시
14232,J. Gallen,Joe Gallen,El Salvador,조 갤런,J. 갤런
19196,J. Mousinho,John Michael Lewis Mousinho,England,존 무시뇨,J. 무시뇨
684,B. Hughes,Bryan Hughes,England,브라이언 휴즈,B. 휴즈
688,B. Flynn,Brian Flynn,Wales,브라이언 플린,B. 플린
968,P. Parkinson,Philip John Parkinson,England,필 파킨슨,P. 파킨슨
3567,D. Keates,Dean Keates,England,딘 키츠,D. 키츠
3814,G. Barrow,Graham Barrow,England,그레이엄 배로,G. 배로
10781,C. Darlington,Craig Darlington,England,크레이그 달링턴,C. 달링턴
25379,T. Eckert,Tonda Eckert,Germany,톤다 에케르트,T. 에케르트
1312,V. Fedotov,Vladimir Fedotov,Russia,블라디미르 페도토프,V. 페도토프
2020,F. Celestini,Fabio Celestini,Switzerland,파비오 첼레스티니,F. 첼레스티니
